+------------+--------------+------+----------+
| Token Type |    Value     | Line | Position |
|  NEWLINE   |              |  1   |   232    |
|            |              |      |          |
|     ID     |   compare    |  1   |   233    |
|   LPAREN   |      (       |  1   |   240    |
|   RPAREN   |      )       |  1   |   241    |
|  NEWLINE   |              |  1   |   242    |
|            |              |      |          |
|  NEWLINE   |              |  1   |   243    |
|            |              |      |          |
|   RBRACE   |      }       |  1   |   244    |
+------------+--------------+------+----------+
